X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-82.3290666,49.5237299,Hearst District,2019,Brook Trout,,,Teetzel Lake 10 (Unofficial Name),17-4038-54863,TEETZEL,Adult,67,49.5237299,-82.3290666,4328
-82.3332808,49.8304106,Hearst District,2019,Brook Trout,,,Guilfoyle Lake 68 (Unofficial Name),17-4041-55204,GUILFOYLE,Yearlings,980,49.8304106,-82.3332808,4329
-84.6591037,49.5906251,Hearst District,2019,Brook Trout,,,Arnott Lake 19 (Unofficial Name),16-6692-54955,ARNOTT,Yearlings,1500,49.5906251,-84.6591037,4330
-82.3302293,49.8205515,Hearst District,2019,Brook Trout,,,Guilfoyle Lake 64 (Unofficial Name),17-4043-55193,GUILFOYLE,Yearlings,950,49.8205515,-82.3302293,4331
-82.3301796,49.5138223,Hearst District,2019,Brook Trout,,,Teetzel Lake 9 (Unofficial Name),17-4037-54852,TEETZEL,Yearlings,998,49.5138223,-82.3301796,4332
-82.3197147,49.4954261,Hearst District,2019,Brook Trout,,,Teetzel Lake 5 (Unofficial Name),17-4044-54832,TEETZEL,Yearlings,998,49.4954261,-82.3197147,4333
-82.3196624,49.5850047,Hearst District,2019,Brook Trout,,,Pearce Lake 11 (Unofficial Name),17-4046-54931,PEARCE,Yearlings,1000,49.5850047,-82.3196624,4334
-84.61273,49.61675,Hearst District,2019,Brook Trout,Claire Lake,lac Claire,,16-6724-54985,ARNOTT,Adult,60,49.61675,-84.61273,4335
-84.61273,49.61675,Hearst District,2019,Brook Trout,Claire Lake,lac Claire,,16-6724-54985,ARNOTT,Yearlings,1200,49.61675,-84.61273,4336
-84.65995,49.61148,Hearst District,2019,Brook Trout,Emond Lake,lac Émond,,16-6690-54978,ARNOTT,Yearlings,3500,49.61148,-84.65995,4337
-84.65162,49.61453,Hearst District,2019,Brook Trout,Eric Lake,lac Eric,,16-6696-54982,ARNOTT,Yearlings,4500,49.61453,-84.65162,4338
-84.60106,49.62397,Hearst District,2019,Brook Trout,Evelyn Lake,lac Evelyn,,16-6733-54994,ARNOTT,Adult,60,49.62397,-84.60106,4339
-84.58051,49.56147,Hearst District,2019,Brook Trout,Mole Lake,lac Mole,,16-6750-54925,MCEWING,Yearlings,1500,49.56147,-84.58051,4340
-84.58051,49.56147,Hearst District,2019,Brook Trout,Mole Lake,lac Mole,,16-6750-54925,MCEWING,Adult,40,49.56147,-84.58051,4341
-84.13549,49.90869,Hearst District,2019,Brook Trout,Pelican Lake,lac Pelican,,16-7057-55322,ROGERS,Yearlings,2000,49.90869,-84.13549,4342
-84.70578,49.51981,Hearst District,2019,Brook Trout,Pointing Lake,lac Pointing,,16-6660-54875,FROST,Yearlings,1000,49.51981,-84.70578,4343
-84.58522,49.61703,Hearst District,2019,Brook Trout,Sider Lake,lac Sider,,16-6744-54986,ARNOTT,Adult,70,49.61703,-84.58522,4344
-84.58522,49.61703,Hearst District,2019,Brook Trout,Sider Lake,lac Sider,,16-6744-54986,ARNOTT,Yearlings,2000,49.61703,-84.58522,4345
-84.67883,49.57092,Hearst District,2019,Brook Trout,Slim Lake,lac Slim,,16-6678-54933,MCEWING,Adult,140,49.57092,-84.67883,4346
-80.1267815,48.6305768,Kirkland Lake District,2011,Brook Trout,Milligan Lake,lac Milligan,,17-5643-53865,MILLIGAN,Yearlings,2400,48.6305768,-80.1267815,4347
-84.6026208,49.6136677,Hearst District,2019,Splake,,,North Arnott Lake (Unofficial Name),16-6732-54982,ARNOTT,Yearlings,2500,49.6136677,-84.6026208,4348
-76.5903765,44.952806,Kemptville District,2020,Brook Trout,Pauls Creek,ruisseau Pauls,,18-3738-49784,DALHOUSIE,Yearlings,750,44.952806,-76.5903765,4349
-76.3275426,44.5929045,Kemptville District,2015,Splake,Indian Lake,lac Indian,,18-3947-49383,SOUTH CROSBY,Yearlings,15300,44.5929045,-76.3275426,4350
-82.3197147,49.4954261,Hearst District,2015,Brook Trout,,,Teetzel Lake 5 (Unofficial Name),17-4044-54832,TEETZEL,Yearlings,1000,49.4954261,-82.3197147,4351
-84.2466,49.77786,Hearst District,2019,Splake,Bluebelle Lake,lac Bluebelle,,16-6982-55173,STUDHOLME,Yearlings,5000,49.77786,-84.2466,4352
-76.55355,45.18421,Kemptville District,2020,Brook Trout,Peterwhite Lake,lac Peterwhite,,18-3779-50044,DARLING,Yearlings,1500,45.18421,-76.55355,4353
-82.3332808,49.8304106,Hearst District,2015,Brook Trout,,,Guilfoyle Lake 68 (Unofficial Name),17-4041-55204,GUILFOYLE,Yearlings,1000,49.8304106,-82.3332808,4354
-76.2533469,44.7791663,Kemptville District,2015,Splake,Round Lake,lac Round,,18-4008-49591,BURGESS,Yearlings,10000,44.7791663,-76.2533469,4355
-81.0605898,47.6711078,Kirkland Lake District,2011,Brook Trout,Moon Lake,lac Moon,,17-4955-52795,KNIGHT,Yearlings,2400,47.6711078,-81.0605898,4356
-76.2533469,44.7791663,Kemptville District,2011,Splake,Round Lake,lac Round,,18-4008-49591,BURGESS,Yearlings,10000,44.7791663,-76.2533469,4357
-75.5579159,45.2648335,Kemptville District,2020,Brown Trout,,,Shields Creek (Unofficial Name),18-4562-50123,OSGOODE,Yearlings,500,45.2648335,-75.5579159,4358
-84.1677,50.01592,Hearst District,2019,Splake,Cardinal Lake,lac Cardinal,,16-7029-55440,,Yearlings,2000,50.01592,-84.1677,4359
-76.6713046,45.0144663,Kemptville District,2016,Brook Trout,Bottle Lake,lac Bottle,,18-3683-49857,LAVANT,Yearlings,2000,45.0144663,-76.6713046,4360
-82.3301796,49.5138223,Hearst District,2015,Brook Trout,,,Teetzel Lake 9 (Unofficial Name),17-4037-54852,TEETZEL,Yearlings,2500,49.5138223,-82.3301796,4361
-76.6713046,45.0144663,Kemptville District,2016,Brook Trout,Bottle Lake,lac Bottle,,18-3683-49857,LAVANT,Yearlings,2000,45.0144663,-76.6713046,4362
-82.3290666,49.5237299,Hearst District,2012,Brook Trout,,,Teetzel Lake 10 (Unofficial Name),17-4038-54863,TEETZEL,Yearlings,2000,49.5237299,-82.3290666,4363
-75.9149343,45.2715322,Kemptville District,2020,Brown Trout,,,Poole Creek (Unofficial Name),18-4282-50133,GOULBOURN,Yearlings,500,45.2715322,-75.9149343,4364
-76.6088201,45.2284912,Kemptville District,2016,Brook Trout,Craigs Creek,ruisseau Craigs,,18-3744-50099,DARLING,Yearlings,500,45.2284912,-76.6088201,4365
-82.3196624,49.5850047,Hearst District,2015,Brook Trout,,,Pearce Lake 11 (Unofficial Name),17-4046-54931,PEARCE,Yearlings,1500,49.5850047,-82.3196624,4366
-82.3196624,49.5850047,Hearst District,2012,Brook Trout,,,Pearce Lake 11 (Unofficial Name),17-4046-54931,PEARCE,Yearlings,4000,49.5850047,-82.3196624,4367
-76.4273937,44.6790934,Kemptville District,2011,Walleye,Westport Sand Lake,lac Westport Sand,,18-3870-49481,NORTH CROSBY,Fingerlings,14000,44.6790934,-76.4273937,4368
-83.528148,49.8646281,Hearst District,2019,Splake,Clear Lake,lac Clear,,17-3183-55264,RITCHIE,Yearlings,3000,49.8646281,-83.528148,4369
-79.875377,48.2378159,Kirkland Lake District,2011,Brook Trout,Nelson Lake,lac Nelson,,17-5829-53426,ARNOLD,Yearlings,900,48.2378159,-79.875377,4370
-75.5146177,45.2919871,Kemptville District,2020,Brown Trout,,,Findlay Creek (Unofficial Name),18-4596-50153,OSGOODE,Yearlings,500,45.2919871,-75.5146177,4371
-76.5231608,45.1208947,Kemptville District,2016,Brook Trout,Eastons Creek,ruisseau Eastons,,18-3794-49969,DARLING,Yearlings,500,45.1208947,-76.5231608,4372
-82.3301796,49.5138223,Hearst District,2015,Brook Trout,,,Teetzel Lake 9 (Unofficial Name),17-4037-54852,TEETZEL,Yearlings,2500,49.5138223,-82.3301796,4373
-84.61273,49.61675,Hearst District,2012,Brook Trout,Claire Lake,lac Claire,,16-6724-54985,ARNOTT,Yearlings,5000,49.61675,-84.61273,4374
-76.4273937,44.6790934,Kemptville District,2011,Walleye,Westport Sand Lake,lac Westport Sand,,18-3870-49481,NORTH CROSBY,Fingerlings,6000,44.6790934,-76.4273937,4375
-84.57939,49.63592,Hearst District,2019,Splake,Myrtle Lake,lac Myrtle,,16-6748-55007,ARNOTT,Yearlings,3500,49.63592,-84.57939,4376
-79.9912361,48.4651233,Kirkland Lake District,2011,Brook Trout,Pack Can Lake,lac Pack Can,,17-5745-53683,GARRISON,Yearlings,600,48.4651233,-79.9912361,4377
-76.3686252,44.9887697,Kemptville District,2020,Brown Trout,Clyde River,rivière Clyde,,18-3923-49818,DRUMMOND,Yearlings,1500,44.9887697,-76.3686252,4378
-76.543204,45.2334948,Kemptville District,2020,Brown Trout,Darling Long Lake,Long lac Darling,,18-3789-50097,DARLING,Yearlings,1039,45.2334948,-76.543204,4379
-76.0845081,44.53461,Kemptville District,2020,Lake Trout,Red Horse Lake,lac Red Horse,,18-4143-49324,LANSDOWNE,Yearlings,5000,44.53461,-76.0845081,4380
-76.5994785,44.8275302,Kemptville District,2020,Lake Trout,Silver Lake,lac Silver,,18-3735-49648,OSO,Yearlings,5836,44.8275302,-76.5994785,4381
-75.1138204,45.0095887,Kemptville District,2020,Rainbow Trout,,,Challies Public Fishing Area Pond (Unofficial Name),18-4910-49838,WILLIAMSBURGH,Yearlings,1897,45.0095887,-75.1138204,4382
-75.1138204,45.0095887,Kemptville District,2020,Rainbow Trout,,,Challies Public Fishing Area Pond (Unofficial Name),18-4910-49838,WILLIAMSBURGH,Yearlings,2000,45.0095887,-75.1138204,4383
-76.6713046,45.0144663,Kemptville District,2020,Rainbow Trout,Bottle Lake,lac Bottle,,18-3683-49857,LAVANT,Yearlings,1500,45.0144663,-76.6713046,4384
-76.3686252,44.9887697,Kemptville District,2020,Rainbow Trout,Clyde River,rivière Clyde,,18-3923-49818,DRUMMOND,Yearlings,1000,44.9887697,-76.3686252,4385
-76.1236362,44.7822142,Kemptville District,2020,Splake,Otter Lake,lac Otter,,18-4111-49593,ELMSLEY,Yearlings,3571,44.7822142,-76.1236362,4386
-76.75578,45.13254,Kemptville District,2020,Splake,Perch Lake,lac Perch,,18-3619-49990,LAVANT,Yearlings,500,45.13254,-76.75578,4387
-76.6088201,45.2284912,Kemptville District,2021,Brook Trout,Craigs Creek,ruisseau Craigs,,18-3744-50099,DARLING,Yearlings,500,45.2284912,-76.6088201,4388
-76.52271,45.18755,Kemptville District,2021,Brook Trout,Duncs Lake,lac Duncs,,18-3803-50047,DARLING,Yearlings,1000,45.18755,-76.52271,4389
-76.5231608,45.1208947,Kemptville District,2021,Brook Trout,Eastons Creek,ruisseau Eastons,,18-3794-49969,DARLING,Yearlings,500,45.1208947,-76.5231608,4390
-76.6078826,45.1428585,Kemptville District,2021,Brook Trout,Green Lake,lac Green,,18-3736-49998,LAVANT,Yearlings,2000,45.1428585,-76.6078826,4391
-76.2826316,45.3039705,Kemptville District,2021,Brook Trout,Indian Creek,ruisseau Indian,,18-3994-50150,PAKENHAM,Yearlings,500,45.3039705,-76.2826316,4392
-76.52716,45.18365,Kemptville District,2021,Brook Trout,Kates Lake,lac Kates,,18-3800-50042,DARLING,Yearlings,1000,45.18365,-76.52716,4393
-75.9822617,44.5130482,Kemptville District,2021,Brook Trout,Mud Lake,lac Mud,,18-4219-49291,ESCOTT,Yearlings,1000,44.5130482,-75.9822617,4394
-76.5903765,44.952806,Kemptville District,2021,Brook Trout,Pauls Creek,ruisseau Pauls,,18-3738-49784,DALHOUSIE,Yearlings,500,44.952806,-76.5903765,4395
-76.55355,45.18421,Kemptville District,2021,Brook Trout,Peterwhite Lake,lac Peterwhite,,18-3779-50044,DARLING,Yearlings,2500,45.18421,-76.55355,4396
-75.9149343,45.2715322,Kemptville District,2021,Brown Trout,,,Poole Creek (Unofficial Name),18-4282-50133,GOULBOURN,Yearlings,500,45.2715322,-75.9149343,4397
-75.5579159,45.2648335,Kemptville District,2021,Brown Trout,,,Shields Creek (Unofficial Name),18-4562-50123,OSGOODE,Yearlings,500,45.2648335,-75.5579159,4398
-75.5146177,45.2919871,Kemptville District,2021,Brown Trout,,,Findlay Creek (Unofficial Name),18-4596-50153,OSGOODE,Yearlings,500,45.2919871,-75.5146177,4399
-76.3686252,44.9887697,Kemptville District,2021,Brown Trout,Clyde River,rivière Clyde,,18-3923-49818,DRUMMOND,Yearlings,1490,44.9887697,-76.3686252,4400
-76.0845081,44.53461,Kemptville District,2021,Lake Trout,Red Horse Lake,lac Red Horse,,18-4143-49324,LANSDOWNE,Yearlings,3299,44.53461,-76.0845081,4401
-76.5994785,44.8275302,Kemptville District,2021,Lake Trout,Silver Lake,lac Silver,,18-3735-49648,OSO,Yearlings,3100,44.8275302,-76.5994785,4402
-75.1138204,45.0095887,Kemptville District,2021,Rainbow Trout,,,Challies Public Fishing Area Pond (Unofficial Name),18-4910-49838,WILLIAMSBURGH,Yearlings,2000,45.0095887,-75.1138204,4403
-76.3686252,44.9887697,Kemptville District,2021,Rainbow Trout,Clyde River,rivière Clyde,,18-3923-49818,DRUMMOND,Yearlings,1000,44.9887697,-76.3686252,4404
-76.3275426,44.5929045,Kemptville District,2021,Splake,Indian Lake,lac Indian,,18-3947-49383,SOUTH CROSBY,Yearlings,17141,44.5929045,-76.3275426,4405
-76.3275426,44.5929045,Kemptville District,2021,Splake,Indian Lake,lac Indian,,18-3947-49383,SOUTH CROSBY,Yearlings,13955,44.5929045,-76.3275426,4406
-94.0139771,50.0158881,Kenora District,2011,Brook Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,500,50.0158881,-94.0139771,4407
-94.1878941,49.7689731,Kenora District,2011,Brook Trout,East Emerson Lake,lac Emerson Est,,15-4145-55134,COYLE,Yearlings,2000,49.7689731,-94.1878941,4408
-94.190439,49.7651087,Kenora District,2011,Brook Trout,Emerson Lake,lac Emerson,,15-4144-55129,COYLE,Yearlings,1000,49.7651087,-94.190439,4409
-94.1009912,49.7680398,Kenora District,2011,Brook Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,500,49.7680398,-94.1009912,4410
-94.1373721,50.0485098,Kenora District,2011,Brook Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,500,50.0485098,-94.1373721,4411
-94.120737,49.9204014,Kenora District,2011,Rainbow Trout,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,3000,49.9204014,-94.120737,4412
-94.0139771,50.0158881,Kenora District,2011,Rainbow Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,4000,50.0158881,-94.0139771,4413
-94.1373721,50.0485098,Kenora District,2011,Rainbow Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,1000,50.0485098,-94.1373721,4414
-93.9686204,50.066968,Kenora District,2012,Brook Trout,,,Bill Lake (Unofficial Name),15-4307-55463,,Yearlings,1500,50.066968,-93.9686204,4415
-94.153522,49.6535931,Kenora District,2012,Brook Trout,,,Tox Lake (Unofficial Name),15-4168-55005,LE MAY,Yearlings,600,49.6535931,-94.153522,4416
-93.948023,49.8326228,Kenora District,2012,Brook Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,750,49.8326228,-93.948023,4417
-94.1267331,49.9041436,Kenora District,2012,Brook Trout,Howard Lake,lac Howard,,15-4191-55283,,Yearlings,1400,49.9041436,-94.1267331,4418
-94.1009912,49.7680398,Kenora District,2012,Brook Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,750,49.7680398,-94.1009912,4419
-93.948023,49.8326228,Kenora District,2012,Rainbow Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,4052,49.8326228,-93.948023,4420
-94.1009912,49.7680398,Kenora District,2012,Rainbow Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,4776,49.7680398,-94.1009912,4421
-94.120737,49.9204014,Kenora District,2012,Splake,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,2500,49.9204014,-94.120737,4422
-94.1009912,49.7680398,Kenora District,2012,Splake,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,500,49.7680398,-94.1009912,4423
-93.948023,49.8326228,Kenora District,2013,Brook Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,500,49.8326228,-93.948023,4424
-94.0139771,50.0158881,Kenora District,2013,Brook Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,499,50.0158881,-94.0139771,4425
-94.1878941,49.7689731,Kenora District,2013,Brook Trout,East Emerson Lake,lac Emerson Est,,15-4145-55134,COYLE,Yearlings,2000,49.7689731,-94.1878941,4426
-94.190439,49.7651087,Kenora District,2013,Brook Trout,Emerson Lake,lac Emerson,,15-4144-55129,COYLE,Yearlings,1000,49.7651087,-94.190439,4427
-94.1009912,49.7680398,Kenora District,2013,Brook Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,500,49.7680398,-94.1009912,4428
-94.1373721,50.0485098,Kenora District,2013,Brook Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,500,50.0485098,-94.1373721,4429
-94.120737,49.9204014,Kenora District,2013,Rainbow Trout,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,2998,49.9204014,-94.120737,4430
-94.0139771,50.0158881,Kenora District,2013,Rainbow Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,3999,50.0158881,-94.0139771,4431
-94.1373721,50.0485098,Kenora District,2013,Rainbow Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,1500,50.0485098,-94.1373721,4432
-93.948023,49.8326228,Kenora District,2014,Brook Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,1500,49.8326228,-93.948023,4433
-93.9686204,50.066968,Kenora District,2014,Brook Trout,,,Bill Lake (Unofficial Name),15-4307-55463,,Yearlings,2000,50.066968,-93.9686204,4434
-94.153522,49.6535931,Kenora District,2014,Brook Trout,,,Tox Lake (Unofficial Name),15-4168-55005,LE MAY,Yearlings,1000,49.6535931,-94.153522,4435
-94.1267331,49.9041436,Kenora District,2014,Brook Trout,Howard Lake,lac Howard,,15-4191-55283,,Yearlings,1500,49.9041436,-94.1267331,4436
-94.1009912,49.7680398,Kenora District,2014,Brook Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,500,49.7680398,-94.1009912,4437
-93.948023,49.8326228,Kenora District,2014,Rainbow Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,2000,49.8326228,-93.948023,4438
-94.1009912,49.7680398,Kenora District,2014,Rainbow Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,4000,49.7680398,-94.1009912,4439
-94.120737,49.9204014,Kenora District,2014,Splake,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,3000,49.9204014,-94.120737,4440
-94.1009912,49.7680398,Kenora District,2014,Splake,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,500,49.7680398,-94.1009912,4441
-94.0139771,50.0158881,Kenora District,2015,Brook Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,1000,50.0158881,-94.0139771,4442
-94.1878941,49.7689731,Kenora District,2015,Brook Trout,East Emerson Lake,lac Emerson Est,,15-4145-55134,COYLE,Yearlings,2000,49.7689731,-94.1878941,4443
-94.190439,49.7651087,Kenora District,2015,Brook Trout,Emerson Lake,lac Emerson,,15-4144-55129,COYLE,Yearlings,1500,49.7651087,-94.190439,4444
-94.1373721,50.0485098,Kenora District,2015,Brook Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,500,50.0485098,-94.1373721,4445
-94.120737,49.9204014,Kenora District,2015,Rainbow Trout,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,3000,49.9204014,-94.120737,4446
-94.0139771,50.0158881,Kenora District,2015,Rainbow Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,4500,50.0158881,-94.0139771,4447
-94.1373721,50.0485098,Kenora District,2015,Rainbow Trout,Wreck Lake,lac Wreck,,15-4185-55443,,Yearlings,1500,50.0485098,-94.1373721,4448
-93.948023,49.8326228,Kenora District,2016,Brook Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,1500,49.8326228,-93.948023,4449
-93.9686204,50.066968,Kenora District,2016,Brook Trout,,,Bill Lake (Unofficial Name),15-4307-55463,,Yearlings,1500,50.066968,-93.9686204,4450
-94.1878941,49.7689731,Kenora District,2016,Brook Trout,East Emerson Lake,lac Emerson Est,,15-4145-55134,COYLE,Yearlings,338,49.7689731,-94.1878941,4451
-94.1878941,49.7689731,Kenora District,2016,Brook Trout,East Emerson Lake,lac Emerson Est,,15-4145-55134,COYLE,Yearlings,662,49.7689731,-94.1878941,4452
-94.190439,49.7651087,Kenora District,2016,Brook Trout,Emerson Lake,lac Emerson,,15-4144-55129,COYLE,Yearlings,1000,49.7651087,-94.190439,4453
-94.1267331,49.9041436,Kenora District,2016,Brook Trout,Howard Lake,lac Howard,,15-4191-55283,,Yearlings,1500,49.9041436,-94.1267331,4454
-94.1009912,49.7680398,Kenora District,2016,Brook Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,1500,49.7680398,-94.1009912,4455
-93.948023,49.8326228,Kenora District,2016,Rainbow Trout,,,Dixie Lake (Unofficial Name),15-4327-55205,MACNICOL,Yearlings,2000,49.8326228,-93.948023,4456
-94.1009912,49.7680398,Kenora District,2016,Rainbow Trout,Percy Lake,lac Percy,,15-4208-55132,COYLE,Yearlings,3000,49.7680398,-94.1009912,4457
-94.120737,49.9204014,Kenora District,2016,Splake,Arpin Lake,lac Arpin,,15-4196-55302,,Yearlings,2500,49.9204014,-94.120737,4458
-94.0139771,50.0158881,Kenora District,2016,Splake,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,2500,50.0158881,-94.0139771,4459
-93.8514095,49.6511143,Kenora District,2017,Brook Trout,,,Lake 132 (Unofficial Name),15-4386-55000,,Yearlings,1500,49.6511143,-93.8514095,4460
-94.153522,49.6535931,Kenora District,2017,Brook Trout,,,Tox Lake (Unofficial Name),15-4168-55005,LE MAY,Yearlings,1000,49.6535931,-94.153522,4461
-94.0139771,50.0158881,Kenora District,2017,Brook Trout,Dog Lake,lac Dog,,15-4273-55408,,Yearlings,1500,50.0158881,-94.0139771,4462
-84.60106,49.62397,Hearst District,2012,Brook Trout,Evelyn Lake,lac Evelyn,,16-6733-54994,ARNOTT,Yearlings,5000,49.62397,-84.60106,4463
-76.6078826,45.1428585,Kemptville District,2016,Brook Trout,Green Lake,lac Green,,18-3736-49998,LAVANT,Yearlings,500,45.1428585,-76.6078826,4464
-82.3290666,49.5237299,Hearst District,2015,Brook Trout,,,Teetzel Lake 10 (Unofficial Name),17-4038-54863,TEETZEL,Yearlings,3200,49.5237299,-82.3290666,4465
-74.8167312,45.0536083,Kemptville District,2012,Brook Trout,,,Cornwall Recreation Area Pond (Unofficial Name),18-5144-49887,CORNWALL,Yearlings,1250,45.0536083,-74.8167312,4466
-84.57911,49.62675,Hearst District,2012,Brook Trout,Gagnon Lake,lac Gagnon,,16-6748-54997,ARNOTT,Yearlings,5000,49.62675,-84.57911,4467
-82.3301796,49.5138223,Hearst District,2015,Brook Trout,,,Teetzel Lake 9 (Unofficial Name),17-4037-54852,TEETZEL,Yearlings,2500,49.5138223,-82.3301796,4468
-76.6078826,45.1428585,Kemptville District,2016,Brook Trout,Green Lake,lac Green,,18-3736-49998,LAVANT,Yearlings,1000,45.1428585,-76.6078826,4469
-84.2965961,49.7311285,Hearst District,2019,Splake,Rabbit Lake,lac Rabbit,,16-6948-55120,GILL,Yearlings,2500,49.7311285,-84.2965961,4470
-79.8844758,48.3489447,Kirkland Lake District,2011,Brook Trout,Pall Lake,lac Pall,,17-5827-53554,CLIFFORD,Yearlings,1400,48.3489447,-79.8844758,4471
-76.52716,45.18365,Kemptville District,2016,Brook Trout,Kates Lake,lac Kates,,18-3800-50042,DARLING,Yearlings,1000,45.18365,-76.52716,4472
-79.8766318,48.2882887,Kirkland Lake District,2011,Brook Trout,Panagapka Lake,lac Panagapka,,17-5834-53486,CLIFFORD,Yearlings,5200,48.2882887,-79.8766318,4473
-75.9822617,44.5130482,Kemptville District,2016,Brook Trout,Mud Lake,lac Mud,,18-4219-49291,ESCOTT,Yearlings,1000,44.5130482,-75.9822617,4474
-82.3197147,49.4954261,Hearst District,2015,Brook Trout,,,Teetzel Lake 5 (Unofficial Name),17-4044-54832,TEETZEL,Yearlings,1000,49.4954261,-82.3197147,4475
-79.8766318,48.2882887,Kirkland Lake District,2011,Brook Trout,Panagapka Lake,lac Panagapka,,17-5834-53486,CLIFFORD,Adult,125,48.2882887,-79.8766318,4476
-84.16438,49.9937,Hearst District,2019,Splake,Widgeon Lake,lac Widgeon,,16-7032-55416,,Yearlings,2500,49.9937,-84.16438,4477
-84.6208035,49.5591368,Hearst District,2012,Brook Trout,Hook Lake,lac Hook,,16-6720-54921,MCEWING,Yearlings,5000,49.5591368,-84.6208035,4478
-76.5903765,44.952806,Kemptville District,2016,Brook Trout,Pauls Creek,ruisseau Pauls,,18-3738-49784,DALHOUSIE,Yearlings,500,44.952806,-76.5903765,4479
-79.9993348,48.4758532,Kirkland Lake District,2011,Brook Trout,Pothole Lakes,lacs Pothole,,17-5739-53684,GARRISON,Fingerlings,30000,48.4758532,-79.9993348,4480
-82.3290666,49.5237299,Hearst District,2020,Brook Trout,,,Teetzel Lake 10 (Unofficial Name),17-4038-54863,TEETZEL,Yearlings,500,49.5237299,-82.3290666,4481
-84.608,49.62397,Hearst District,2012,Brook Trout,Lewis Lake,lac Lewis,,16-6728-54993,ARNOTT,Yearlings,3000,49.62397,-84.608,4482
-76.55355,45.18421,Kemptville District,2016,Brook Trout,Peterwhite Lake,lac Peterwhite,,18-3779-50044,DARLING,Yearlings,2500,45.18421,-76.55355,4483
-82.3197147,49.4954261,Hearst District,2020,Brook Trout,,,Teetzel Lake 5 (Unofficial Name),17-4044-54832,TEETZEL,Yearlings,750,49.4954261,-82.3197147,4484
-80.5856863,48.2976504,Kirkland Lake District,2011,Brook Trout,Potvin Lake,lac Potvin,,17-5307-53492,MCEVAY,Yearlings,1500,48.2976504,-80.5856863,4485
-76.6088201,45.2284912,Kemptville District,2012,Brook Trout,Craigs Creek,ruisseau Craigs,,18-3744-50099,DARLING,Yearlings,500,45.2284912,-76.6088201,4486
-82.3302293,49.8205515,Hearst District,2015,Brook Trout,,,Guilfoyle Lake 64 (Unofficial Name),17-4043-55193,GUILFOYLE,Yearlings,1500,49.8205515,-82.3302293,4487
-79.8799009,48.2630026,Kirkland Lake District,2011,Brook Trout,Rozon Lake,lac Rozon,,17-5831-53459,ARNOLD,Yearlings,900,48.2630026,-79.8799009,4488
-82.3196624,49.5850047,Hearst District,2020,Brook Trout,,,Pearce Lake 11 (Unofficial Name),17-4046-54931,PEARCE,Yearlings,1000,49.5850047,-82.3196624,4489
-82.3196624,49.5850047,Hearst District,2015,Brook Trout,,,Pearce Lake 11 (Unofficial Name),17-4046-54931,PEARCE,Yearlings,1500,49.5850047,-82.3196624,4490
-76.5231608,45.1208947,Kemptville District,2012,Brook Trout,Eastons Creek,ruisseau Eastons,,18-3794-49969,DARLING,Yearlings,500,45.1208947,-76.5231608,4491
-75.9149343,45.2715322,Kemptville District,2016,Brown Trout,,,Poole Creek (Unofficial Name),18-4282-50133,GOULBOURN,Yearlings,1000,45.2715322,-75.9149343,4492
